feature,feature_clean,mean_abs_shap,mean_shap,n_explanations,mean_feature_value
current_HeliumBPFlow_mean,HeliumBPFlow_mean,0.4335221227790628,0.15344058748866832,56,1.3643505409016548
current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,0.3890741803583556,0.039320818231707175,56,7.96712506530177
current_PlatenRFPeakToPeak_max,PlatenRFPeakToPeak_max,0.30119478489671436,0.14460426356111253,7,981.3150460379464
current_HeliumBPPressure_min,HeliumBPPressure_min,0.26725003043455736,0.10652322153605166,42,0.005188146606087655
current_PlatenDcBias_mean,PlatenDcBias_mean,0.22218800016811915,-0.059940499918801446,7,3.756960885798441
current_Heater4Temp_mean,Heater4Temp_mean,0.17231002237115586,-0.17231002237115586,7,59.20257505352381
current_SourceRFReflectedPower_mean,SourceRFReflectedPower_mean,0.15658251401679268,-0.004364079956350656,29,139.04702255493342
current_Heater2Temp_mean,Heater2Temp_mean,0.15578255208674818,-0.04960584036806332,56,54.67219453637408
current_PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_std,0.14354012640459196,0.029642595776489804,14,3.900330093279234
current_Gas7Flow_mean,Gas7Flow_mean,0.11633349791625325,0.0254147611938569,49,2.061856641716815
current_HeliumBPFlow_min,HeliumBPFlow_min,0.11280635586008429,0.0681687586940825,20,0.1217688530683517
current_Gas2Flow_max,Gas2Flow_max,0.0853598527610302,0.005581054836511612,12,4.418333331743876
current_Pressure_min,Pressure_min,0.07092850073240697,0.00011230103804596833,28,0.0006428571484450142
current_Gas7Flow_min,Gas7Flow_min,0.055295481496224444,0.012758203100280039,56,1.9189285699810301
current_Heater2Temp_std,Heater2Temp_std,0.028517647087574004,0.0019351199269294738,10,0.19513575281380427
current_Gas7Flow_max,Gas7Flow_max,0.026220370642840864,-0.026220370642840864,5,2.2260000228881833
current_moriInnerCurrent_max,moriInnerCurrent_max,0.023910945281386375,-0.009671565517783165,5,10.022364234924316
current_PlatenDcBias_min,PlatenDcBias_min,0.01917891889810562,-0.008889558911323547,25,-43.53892654418945
current_ForeLinePressure_mean,ForeLinePressure_mean,0.016798379564923898,-0.0037877244342650685,7,125.46970378819132
current_SourceRF2PeakToPeak_max,SourceRF2PeakToPeak_max,0.014787046238780022,0.014787046238780022,1,55.39109420776367
current_HeliumBPFlow_max,HeliumBPFlow_max,0.012106992471485566,-0.005489078398125294,39,9.560995101928711
current_Heater1Temp_mean,Heater1Temp_mean,0.0,0.0,7,1371.014790364481
current_ForeLinePressure_min,ForeLinePressure_min,0.0,0.0,5,20.264289855957035
current_Gas1Flow_max,Gas1Flow_max,0.0,0.0,10,200.0
current_PlatenRFLoadCapacitor_min,PlatenRFLoadCapacitor_min,0.0,0.0,7,5.246131760733468
